Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/2           compare_sum [171]
                0.00    0.00       1/1           print_sum [255]
-----------------------------------------------
                3.67    0.32 40990979/40990979     lzma_lzma_encode [7]
[18]    19.4    3.67    0.32 40990979         rc_encode [18]
                0.32    0.00 40952904/40952904     rc_shift_low [34]
                0.00    0.00     667/1094        rc_reset [119]
-----------------------------------------------
                0.00    1.62   13981/13981       lzma_code [2]
[19]     7.9    0.00    1.62   13981         stream_decode [19]
                0.00    1.62   13981/13981       block_decode [20]
                0.00    0.00       2/2           lzma_index_hash_decode [87]
                0.00    0.00       2/2           lzma_index_hash_append [86]
                0.00    0.00       2/3           lzma_raw_coder_init [90]
                0.00    0.00       8/40          lzma_free [129]
                0.00    0.00       6/17629       lzma_bufcpy [112]
                0.00    0.00       2/2           lzma_stream_header_decode [207]
                0.00    0.00       2/5           lzma_check_is_supported [152]
                0.00    0.00       2/2           lzma_stream_footer_decode [206]
                0.00    0.00       2/10          vli_ceil4 [140]
                0.00    0.00       2/6           index_size [147]
                0.00    0.00       2/2           lzma_index_hash_size [188]
                0.00    0.00       2/2           lzma_stream_flags_compare [205]
                0.00    0.00       2/2           lzma_block_header_decode [183]
                0.00    0.00       2/2           lzma_raw_coder_memusage [200]
                0.00    0.00       2/2           lzma_raw_decoder_memusage [202]
                0.00    0.00       2/2           lzma_raw_decoder_init [201]
                0.00    0.00       2/2           lzma_block_decoder_init [182]
                0.00    0.00       2/6           lzma_block_unpadded_size [148]
-----------------------------------------------
                0.00    1.62   13981/13981       stream_decode [19]
[20]     7.9    0.00    1.62   13981         block_decode [20]
                0.00    1.55   13981/13981       lz_decode [23]
                0.00    0.07   13981/23424       lzma_check_update [40]
                0.00    0.00   27962/27962       update_size [110]
                0.00    0.00       4/4           is_size_valid [157]
                0.00    0.00       2/7           lzma_check_finish [143]
                0.00    0.00       2/10          lzma_check_size [138]
                0.00    0.00       2/17629       lzma_bufcpy [112]
                0.00    0.00       2/5           lzma_check_is_supported [152]
-----------------------------------------------
                0.00    1.55   13983/13983       decode_buffer [22]
[21]     7.5    0.00    1.55   13983         lzma2_decode [21]
                1.46    0.09    4886/4886        lzma_decode [24]
                0.00    0.00   10017/10017       dict_write [115]
                0.00    0.00     294/294         lzma_decoder_uncompressed [126]
                0.00    0.00      17/17          lzma_decoder_reset [135]
                0.00    0.00       2/2           lzma_lzma_lclppb_decode [197]
                0.00    0.00       2/2           dict_reset [172]
-----------------------------------------------
